"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"田名網","たなあみ","朋","みえ",76,"75-79","女",141.9,52.8,26.2,"東京都","高校・旧中","なし","サービス職業従事者","400万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや不満だ"
"稜野","かどの","良巳","よしみ",82,"80-84","男",161.9,51.9,19.8,"埼玉県","高校・旧中","なし","無職その他","300万円～","有配偶",26,"吸わない","飲まない (飲めない)","満足"
"浦谷","うらたに","孝人","たかと",61,"60-64","男",164.2,51.8,19.2,"神奈川県","高校・旧中","なし","事務従事者","300万円～","有配偶",27,"時々吸う日がある","飲まない (飲めない)","やや不満だ"
"宮岸","みやぎし","伝麻","でんま",63,"60-64","男",167.6,73.3,26.1,"東京都","大学・大学院","大学 工学","輸送・機械運転従事者","1500万円～2000万円","有配偶",48,"毎日吸っている","週５-６日","やや不満だ"
"石津","いしつ","弦多","げんた",30,"30-34","男",170,84.1,29.1,"山口県","大学・大学院","大学 理学","無職その他","200万円～","有配偶",27,"吸わない","月に１-３日","やや満足"
"本屋","もとや","映二","えいじ",31,"30-34","男",166.3,67.8,24.5,"大阪府","大学・大学院","大学 社会科学","専門的・技術的職業従事者","500万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"助信","すけのぶ","南津子","なつこ",56,"55-59","女",159.9,58.8,23,"東京都","高校・旧中","なし","事務従事者","400万円～","有配偶",30,"吸わない","週１-２日","やや満足"
"古代","こだい","桐崇","きりたか",33,"30-34","男",175.4,72.9,23.7,"兵庫県","小学校・中学校","なし","専門的・技術的職業従事者","400万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"伊矢野","いやの","花咲愛","かえら",84,"80-84","女",146.1,58.3,27.3,"滋賀県","小学校・中学校","なし","無職その他","300万円～","死別",30,"吸わない","飲まない (飲めない)","やや満足"
"河相","かわい","巌之進","みねのしん",68,"65-69","男",169.8,100,34.7,"福岡県","大学・大学院","大学 保健","無職その他","100万円以下","有配偶",33,"吸わない","月に１-３日","満足"
"王来王家","おくおか","住従","すみより",74,"70-74","男",163.5,62.8,23.5,"奈良県","高校・旧中","なし","農林漁業従事者","400万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"清治","せいじ","楼莉亜","ろりあ",31,"30-34","女",162.2,62.1,23.6,"長野県","高校・旧中","なし","事務従事者","300万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや不満だ"
"団村","だんむら","由之","よしの",49,"45-49","女",152.6,31.2,13.4,"茨城県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"南場","なんば","月嘉","るか",23,"20-24","女",162.2,61,23.2,"福岡県","大学・大学院","大学 教育","無職その他","300万円～","未婚",NA,"吸わない","週１-２日","満足"
"夏梅","なつうめ","藍助","あいすけ",60,"60-64","男",160.7,68.7,26.6,"香川県","高校・旧中","なし","販売従事者","100万円以下","有配偶",21,"吸わない","ほとんど飲まない","やや不満だ"
"花内","はなうち","颯次","そうつぎ",42,"40-44","男",168.3,70.8,25,"福島県","高校・旧中","なし","無職その他","800万円～","有配偶",30,"毎日吸っている","毎日","やや満足"
"佐之瀬","さのせ","渥子","あつこ",44,"40-44","女",169.7,65.1,22.6,"沖縄県","高校・旧中","なし","無職その他","300万円～","有配偶",21,"吸わない","ほとんど飲まない","やや満足"
"鳥岡","とりおか","悠有","ゆう",64,"60-64","男",168.3,56.1,19.8,"山梨県","小学校・中学校","なし","販売従事者","600万円～","離別",38,"吸わない","やめた","やや満足"
"銀島","ぎんじま","栄薫","さとか",15,"15-19","女",154.8,41.7,17.4,"佐賀県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"佐保山","さほやま","美果","よしか",52,"50-54","女",145.6,43.5,20.5,"長崎県","高校・旧中","なし","販売従事者","100万円～","離別",20,"吸わない","飲まない (飲めない)","満足"
"橘高","きったか","桂呼","けいこ",15,"15-19","女",153.8,61.3,25.9,"滋賀県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"神之口","かみのくち","音萌香","ねもか",68,"65-69","女",146.8,37.1,17.2,"東京都","高校・旧中","なし","無職その他","100万円以下","有配偶",32,"吸わない","ほとんど飲まない","やや不満だ"
"百鳥","ももどり","才佐","さいすけ",75,"75-79","男",159.6,60.4,23.7,"新潟県","高校・旧中","なし","無職その他","500万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"一藤","いちふじ","比佐直人","ひさなおと",59,"55-59","男",175.6,73.7,23.9,"長野県","高校・旧中","なし","農林漁業従事者","500万円～","有配偶",21,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"細谷","ほそたに","果実","かじつ",79,"75-79","女",154.2,53.7,22.6,"千葉県","短大・高専","短大 教育","無職その他","300万円～","死別",32,"吸わない","飲まない (飲めない)","やや満足"
"鶏冠井","かえで","咲愛","えあ",39,"35-39","女",148.1,57.7,26.3,"福岡県","短大・高専","短大 教育","専門的・技術的職業従事者","100万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"進村","しんむら","九九美","くぐみ",37,"35-39","女",161.3,63.7,24.5,"宮城県","大学・大学院","大学 人文科学","無職その他","100万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"廣理","ひろり","俊平","しゅんぺい",30,"30-34","男",174.4,93.4,30.7,"奈良県","短大・高専","高専 情報工学","生産工程従事者","200万円～","有配偶",26,"吸わない","週１-２日","やや満足"
"鏡石","かがみいし","弥都紀","みづき",67,"65-69","男",160.1,55.4,21.6,"北海道","小学校・中学校","なし","無職その他","300万円～","有配偶",23,"毎日吸っている","週３-４日","やや不満だ"
"徳元","とくもと","英陽須","えびす",16,"15-19","男",179.7,69.8,21.6,"愛知県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"細國","ほそくに","未育","みいく",50,"50-54","女",158.5,56.8,22.6,"愛知県","高校・旧中","なし","専門的・技術的職業従事者","100万円以下","有配偶",22,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"野永","のなが","奈乃愛","なのあ",82,"80-84","女",156.5,53.1,21.7,"東京都","小学校・中学校","なし","サービス職業従事者","100万円以下","死別",22,"吸わない","飲まない (飲めない)","やや満足"
"正實","しょうおう","佑芽花","うめか",40,"40-44","女",163.2,70.3,26.4,"山梨県","高校・旧中","なし","販売従事者","200万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"川和","かわわ","桜夢鳴","さゆな",86,"85-89","女",142.2,46.7,23.1,"福岡県","小学校・中学校","なし","無職その他","200万円～","死別",25,"吸わない","飲まない (飲めない)","やや満足"
"竹木田","たけきた","美潤","みう",54,"50-54","女",156.7,54.8,22.3,"北海道","高校・旧中","なし","無職その他","200万円～","離別",28,"吸わない","ほとんど飲まない","やや満足"
"霊正","れいしょう","橙吾","とうご",73,"70-74","男",157.8,72,28.9,"千葉県","高校・旧中","なし","無職その他","300万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"古宮山","こみやま","理梨亜","りりあ",56,"55-59","女",156.2,58.6,24,"大阪府","小学校・中学校","なし","無職その他","400万円～","有配偶",21,"吸わない","週５-６日","満足"
"屋敷野","やしきの","莉楼衣","りろい",45,"45-49","女",154.8,52.2,21.8,"石川県","短大・高専","短大 教育","分類不能の職業","300万円～","有配偶",38,"吸わない","やめた","やや不満だ"
"國崎","くにさき","央祐","おうすけ",57,"55-59","男",170.5,71.5,24.6,"大阪府","小学校・中学校","なし","輸送・機械運転従事者","1000万円～1500万円","有配偶",31,"吸わない","毎日","満足"
"内住","うちずみ","車太郎","しゃたろう",54,"50-54","男",161.4,83.4,32,"愛知県","大学・大学院","大学 農学","販売従事者","700万円～","有配偶",35,"吸わない","毎日","やや満足"
"小鷹狩","こだかり","茂博","しげひろ",60,"60-64","男",164.7,73.2,27,"京都府","高校・旧中","なし","生産工程従事者","400万円～","有配偶",25,"毎日吸っている","毎日","やや不満だ"
"舩冨","ふなとみ","有鈴","ゆり",79,"75-79","女",156.4,65.3,26.7,"石川県","高校・旧中","なし","無職その他","100万円以下","死別",36,"吸わない","飲まない (飲めない)","不満だ"
"小藪","こやぶ","羽衣","うい",52,"50-54","女",158.7,49.4,19.6,"埼玉県","短大・高専","短大 教育","無職その他","100万円以下","離別",21,"吸わない","ほとんど飲まない","やや不満だ"
"稲井田","いないだ","匠哉","しょうや",39,"35-39","男",160.9,59.8,23.1,"鹿児島県","高校・旧中","なし","無職その他","300万円～","未婚",NA,"以前は吸っていたが.１か月以上吸っていない","月に１-３日","やや満足"
"松葉","まつば","都葛乃","とかの",61,"60-64","女",154.8,58,24.2,"静岡県","短大・高専","短大 その他","無職その他","1000万円～1500万円","有配偶",23,"以前は吸っていたが.１か月以上吸っていない","週１-２日","やや満足"
"高畠","たかはた","孝憲","こうけん",19,"15-19","男",179.8,59.2,18.3,"北海道","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"吉高神","きっこうじん","数鳴","すな",49,"45-49","女",160.3,62.4,24.3,"滋賀県","大学・大学院","大学 家政","サービス職業従事者","400万円～","有配偶",25,"吸わない","月に１-３日","やや満足"
"毎田","まいだ","直夫","なお",51,"50-54","男",163.5,71.4,26.7,"福岡県","短大・高専","短大 社会","無職その他","400万円～","離別",30,"吸わない","飲まない (飲めない)","やや満足"
"秀城","しゅうき","実已","みい",37,"35-39","女",164.6,47.7,17.6,"岐阜県","高校・旧中","なし","運搬・清掃・包装等従事者","100万円以下","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"朝倉","あさくろ","桃巳","ももみ",33,"30-34","女",162.8,71.6,27,"埼玉県","短大・高専","短大 教養","分類不能の職業","300万円～","有配偶",21,"毎日吸っている","飲まない (飲めない)","やや満足"
"日野岡","ひのおか","康央","やすお",81,"80-84","男",168.9,51.9,18.2,"東京都","高校・旧中","なし","無職その他","500万円～","有配偶",28,"以前は吸っていたが.１か月以上吸っていない","月に１-３日","やや満足"
"北田","きただ","一薫","かずゆき",34,"30-34","男",164.6,59.3,21.9,"鹿児島県","大学・大学院","大学院 工学","運搬・清掃・包装等従事者","700万円～","有配偶",28,"毎日吸っている","週５-６日","やや満足"
"安野谷","あのたに","鶴羽沙","つばさ",80,"80-84","女",153.9,55.9,23.6,"神奈川県","短大・高専","短大 教育","無職その他","100万円以下","死別",31,"吸わない","飲まない (飲めない)","やや満足"
"鈴尾","すずお","星来","せら",35,"35-39","女",156.4,48.7,19.9,"静岡県","大学・大学院","大学 社会科学","専門的・技術的職業従事者","100万円～","未婚",NA,"毎日吸っている","週３-４日","やや満足"
"合原","あいはら","寅洋","とらひろ",62,"60-64","男",170,56.9,19.7,"大阪府","小学校・中学校","なし","分類不能の職業","700万円～","死別",36,"吸わない","週５-６日","やや満足"
"慶伊","けいい","起光","おきてる",72,"70-74","男",168.7,55.2,19.4,"愛知県","高校・旧中","なし","輸送・機械運転従事者","400万円～","有配偶",25,"吸わない","ほとんど飲まない","不満だ"
"天王寺谷","てんのうじや","敏満","としみつ",67,"65-69","男",160.1,55.9,21.8,"岩手県","高校・旧中","なし","生産工程従事者","300万円～","有配偶",30,"毎日吸っている","週５-６日","やや満足"
"鉢村","はちむら","夕喜","ゆき",27,"25-29","男",163.3,59.2,22.2,"茨城県","大学・大学院","大学 社会科学","事務従事者","800万円～","有配偶",25,"毎日吸っている","月に１-３日","満足"
"翠簾屋","みすや","結愛羽","ゆあら",65,"65-69","女",142,59.5,29.5,"茨城県","高校・旧中","なし","農林漁業従事者","200万円～","有配偶",37,"吸わない","週５-６日","やや満足"
"冠地","かんち","月恵","つきえ",40,"40-44","女",154.1,56.8,23.9,"新潟県","高校・旧中","なし","無職その他","200万円～","有配偶",20,"吸わない","飲まない (飲めない)","満足"
"薄","うすき","春満","はるみつ",75,"75-79","男",170,63.9,22.1,"神奈川県","高校・旧中","なし","無職その他","200万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"俵木","ひょうき","剛一","たけひと",68,"65-69","男",166.1,48.6,17.6,"東京都","大学・大学院","大学 社会科学","無職その他","400万円～","有配偶",32,"毎日吸っている","毎日","満足"
"伊南","いなみ","琴夏","ことか",56,"55-59","女",139.8,46.7,23.9,"東京都","小学校・中学校","なし","無職その他","200万円～","有配偶",40,"吸わない","週１-２日","やや満足"
"飯草","いいぐさ","睦","むつみ",48,"45-49","女",168.1,45.8,16.2,"愛媛県","高校・旧中","なし","サービス職業従事者","300万円～","有配偶",20,"吸わない","飲まない (飲めない)","満足"
"昌角","まさずみ","時八","ときや",53,"50-54","男",162.9,66.6,25.1,"大阪府","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",27,"時々吸う日がある","週１-２日","やや不満だ"
"桜谷","さくらたに","紡金","つむぎ",54,"50-54","女",153.4,58.4,24.8,"青森県","大学・大学院","大学 工学","運搬・清掃・包装等従事者","100万円～","有配偶",30,"吸わない","飲まない (飲めない)","やや満足"
"辺","ほとり","桜芽","さくらめ",60,"60-64","女",147.3,34.5,15.9,"福岡県","高校・旧中","なし","無職その他","200万円～","離別",31,"吸わない","週５-６日","満足"
"邊土名","へんとな","淳男","あつお",55,"55-59","男",171.7,73.7,25,"京都府","高校・旧中","なし","事務従事者","300万円～","離別",32,"以前は吸っていたが.１か月以上吸っていない","週３-４日","やや満足"
"佐土瀬","さどせ","妃奈々","ひなな",83,"80-84","女",144,40,19.3,"佐賀県","小学校・中学校","なし","無職その他","400万円～","死別",27,"吸わない","飲まない (飲めない)","やや満足"
"須賀川","すかがわ","春彦","ときひこ",56,"55-59","男",171.9,58.8,19.9,"東京都","大学・大学院","大学院 工学","販売従事者","400万円～","有配偶",51,"吸わない","週１-２日","不満だ"
"地木","ぢき","葵弥子","きみこ",47,"45-49","女",157.1,65.6,26.6,"兵庫県","大学・大学院","大学 保健","サービス職業従事者","100万円以下","有配偶",35,"吸わない","毎日","やや満足"
"鐙塚","あぶつか","真成人","まなと",52,"50-54","男",173.2,79.2,26.4,"千葉県","短大・高専","高専 環境都市工学","事務従事者","600万円～","有配偶",26,"毎日吸っている","飲まない (飲めない)","やや不満だ"
"前畑","まえはた","道恰","みちかつ",36,"35-39","男",165.7,65.6,23.9,"北海道","大学・大学院","大学 社会科学","生産工程従事者","300万円～","有配偶",26,"吸わない","週３-４日","やや満足"
"仲岡","なかおか","玲央馬","れおま",34,"30-34","男",175.6,40.1,13,"大阪府","大学・大学院","大学 保健","生産工程従事者","600万円～","有配偶",28,"吸わない","週３-４日","やや満足"
"升森","ますもり","爽野","さやの",52,"50-54","女",150.9,68.8,30.2,"埼玉県","高校・旧中","なし","サービス職業従事者","400万円～","有配偶",45,"吸わない","週５-６日","やや満足"
"船本","ふなもと","紗優","さゆう",80,"80-84","女",147.5,27,12.4,"青森県","小学校・中学校","なし","無職その他","500万円～","死別",28,"吸わない","飲まない (飲めない)","やや満足"
"法水","ほうすい","海弥","みや",69,"65-69","女",165.9,79,28.7,"兵庫県","高校・旧中","なし","無職その他","200万円～","有配偶",30,"毎日吸っている","飲まない (飲めない)","やや満足"
"山外","やまそと","菜豊","なゆた",49,"45-49","女",163.8,50.4,18.8,"埼玉県","短大・高専","短大 芸術","無職その他","200万円～","有配偶",37,"吸わない","ほとんど飲まない","やや満足"
"津布子","つぶこ","奈実恵","なみえ",61,"60-64","女",156.9,67.7,27.5,"神奈川県","短大・高専","短大 教育","無職その他","600万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや不満だ"
"間狩","まかり","滉","ひろ",80,"80-84","男",172.4,82.3,27.7,"三重県","小学校・中学校","なし","無職その他","400万円～","有配偶",27,"毎日吸っている","週５-６日","不満だ"
"金作","かねさく","浩芳","ひろよし",88,"85-89","男",162.4,73.8,28,"三重県","小学校・中学校","なし","無職その他","400万円～","有配偶",32,"吸わない","月に１-３日","満足"
"空河内","そらごうち","依留","いる",58,"55-59","女",158.4,69,27.5,"東京都","高校・旧中","なし","事務従事者","200万円～","有配偶",27,"吸わない","週１-２日","やや満足"
"田結","たゆい","敏寄","としより",58,"55-59","男",168.5,71.8,25.3,"大阪府","大学・大学院","大学 理学","輸送・機械運転従事者","600万円～","有配偶",22,"吸わない","週３-４日","やや満足"
"信濃","しなの","明未","あみ",58,"55-59","女",153.7,50.1,21.2,"福井県","高校・旧中","なし","生産工程従事者","100万円以下","離別",25,"吸わない","飲まない (飲めない)","やや満足"
"四島","ししま","亜南","あなん",49,"45-49","女",160.4,56.6,22,"大阪府","短大・高専","短大 教育","事務従事者","200万円～","有配偶",38,"吸わない","月に１-３日","やや不満だ"
"畔上","あぜがみ","成衛門","なりえもん",79,"75-79","男",163.8,62.5,23.3,"長野県","高校・旧中","なし","無職その他","900万円～","死別",30,"吸わない","毎日","やや満足"
"村西","むらにし","秋羅","あきら",34,"30-34","女",156.8,46,18.7,"東京都","大学・大学院","大学 社会科学","事務従事者","100万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"山下","やました","綾翔凛","あかり",22,"20-24","女",155.1,39.2,16.3,"神奈川県","短大・高専","短大 保健","無職その他","600万円～","有配偶",21,"吸わない","飲まない (飲めない)","やや不満だ"
"眞次","まつぐ","奏桜","そら",18,"15-19","女",157.5,43.2,17.4,"千葉県","小学校・中学校","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"木葉","きば","綺優","あゆう",58,"55-59","女",165.3,70.8,25.9,"埼玉県","大学・大学院","大学 教育","運搬・清掃・包装等従事者","400万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","ほとんど飲まない","やや不満だ"
"野々目","ののめ","梨星留","りぜる",81,"80-84","女",152.5,57.7,24.8,"愛知県","高校・旧中","なし","無職その他","100万円～","死別",26,"吸わない","飲まない (飲めない)","やや満足"
"編田","あみだ","依雄","よりお",84,"80-84","男",164.2,63.6,23.6,"静岡県","小学校・中学校","なし","無職その他","100万円～","有配偶",36,"吸わない","月に１-３日","やや満足"
"釜江","かまえ","愛咲","あみか",41,"40-44","女",158.2,46.3,18.5,"滋賀県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",27,"吸わない","ほとんど飲まない","やや不満だ"
"正口","まさぐち","咲耶花","さやか",64,"60-64","女",153,64.4,27.5,"熊本県","短大・高専","短大 教育","販売従事者","300万円～","有配偶",25,"吸わない","飲まない (飲めない)","満足"
"三城","さんじょう","揮子","きこ",38,"35-39","女",152.9,50.5,21.6,"富山県","短大・高専","短大 工業","生産工程従事者","200万円～","離別",23,"吸わない","週３-４日","やや満足"
"五十崎","いかざき","飛幸","とびゆき",43,"40-44","男",160.1,67.9,26.5,"神奈川県","高校・旧中","なし","事務従事者","400万円～","離別",26,"吸わない","週３-４日","不満だ"
"名合","なごう","良生","りょう",62,"60-64","男",161,58.1,22.4,"千葉県","高校・旧中","なし","生産工程従事者","900万円～","有配偶",27,"毎日吸っている","週３-４日","やや満足"
"出木場","できば","今朝見","けさみ",52,"50-54","女",145,49,23.3,"奈良県","高校・旧中","なし","無職その他","700万円～","死別",37,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"坂見","さかみ","興章","おきふみ",57,"55-59","男",184.7,79.5,23.3,"山形県","短大・高専","短大 教育","農林漁業従事者","400万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや満足"
"矢亀","やかめ","絢々沙","ああさ",46,"45-49","女",159.2,53.5,21.1,"東京都","高校・旧中","なし","無職その他","200万円～","有配偶",35,"吸わない","週５-６日","やや満足"
"古城","ふるき","一陽","いちよう",77,"75-79","男",155.6,51.8,21.4,"千葉県","高校・旧中","なし","無職その他","500万円～","有配偶",33,"吸わない","毎日","やや不満だ"
"荻上","おぎうえ","旗子","はたこ",30,"30-34","女",156,44.5,18.3,"青森県","短大・高専","短大 社会","販売従事者","200万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"香葉村","かばむら","瑞鶴","たつ",49,"45-49","男",155.8,68.2,28.1,"北海道","大学・大学院","大学 工学","保安職業従事者","700万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"香取","かんどり","政成","まさなり",78,"75-79","男",159.1,45.6,18,"大阪府","高校・旧中","なし","無職その他","400万円～","有配偶",30,"吸わない","ほとんど飲まない","やや満足"
"神川","かみかわ","伎梛","あやな",65,"65-69","女",142.6,49.6,24.4,"奈良県","小学校・中学校","なし","無職その他","400万円～","有配偶",26,"毎日吸っている","週３-４日","やや満足"
"法井","のりい","兼威","かねたけ",30,"30-34","男",164.6,48.8,18,"愛知県","高校・旧中","なし","無職その他","200万円～","有配偶",26,"毎日吸っている","ほとんど飲まない","やや不満だ"
"島末","しますえ","燈芽","ひめ",83,"80-84","女",150.7,52,22.9,"岐阜県","小学校・中学校","なし","無職その他","100万円～","有配偶",31,"吸わない","月に１-３日","やや満足"
"幸田","ゆきた","楓王俐","ふわり",63,"60-64","女",151.7,58.9,25.6,"福島県","高校・旧中","なし","生産工程従事者","300万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"關","せき","常葉","ときわ",45,"45-49","男",162.1,53.1,20.2,"栃木県","大学・大学院","大学院 工学","無職その他","400万円～","有配偶",23,"吸わない","月に１-３日","やや満足"
"古厩","ふるまや","真佐由貴","まさゆき",47,"45-49","男",175.1,85.5,27.9,"滋賀県","高校・旧中","なし","生産工程従事者","400万円～","有配偶",33,"吸わない","月に１-３日","やや満足"
"中名林","ちゅうなばやし","美那々","ひなな",77,"75-79","女",154.6,60,25.1,"青森県","高校・旧中","なし","無職その他","100万円～","死別",37,"吸わない","飲まない (飲めない)","満足"
"石嶋","いしじま","冬児","ふゆじ",74,"70-74","男",171.4,55.2,18.8,"大阪府","小学校・中学校","なし","輸送・機械運転従事者","700万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"白丸","しろまる","愛々寿","ああす",78,"75-79","女",152.4,60.4,26,"兵庫県","小学校・中学校","なし","無職その他","100万円～","死別",28,"吸わない","飲まない (飲めない)","やや満足"
"丸屋","まるや","京哉","きょうや",66,"65-69","男",160.6,56.5,21.9,"神奈川県","大学・大学院","大学 社会科学","運搬・清掃・包装等従事者","400万円～","有配偶",21,"吸わない","月に１-３日","やや満足"
"水吉","みずよし","翠那","あきな",71,"70-74","女",144.5,41.8,20,"三重県","小学校・中学校","なし","無職その他","500万円～","有配偶",27,"吸わない","週３-４日","やや満足"
"金田","かなた","摂雄","せつお",38,"35-39","男",172.8,78.8,26.4,"神奈川県","大学・大学院","大学 社会科学","生産工程従事者","500万円～","有配偶",20,"吸わない","月に１-３日","やや不満だ"
"覚張","かくはり","邦尊","くにたか",52,"50-54","男",166,66.4,24.1,"神奈川県","高校・旧中","なし","輸送・機械運転従事者","400万円～","有配偶",27,"吸わない","ほとんど飲まない","やや満足"
"尾路","おろ","珈苗","かなえ",18,"15-19","女",156,56,23,"大分県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"春海","はるうみ","萌隆","もな",21,"20-24","女",168.4,43.7,15.4,"神奈川県","短大・高専","短大 保健","専門的・技術的職業従事者","100万円～","未婚",NA,"吸わない","ほとんど飲まない","満足"
"堂谷","どうたに","茂尚","しげなお",86,"85-89","男",167.4,57.7,20.6,"埼玉県","高校・旧中","なし","無職その他","100万円～","死別",20,"吸わない","毎日","不満だ"
"壽々木","すすき","蒼月","あいと",53,"50-54","女",156.1,47.8,19.6,"神奈川県","大学・大学院","大学院 保健","運搬・清掃・包装等従事者","400万円～","有配偶",37,"吸わない","ほとんど飲まない","やや満足"
"越坂部","おさかべ","幸太郎","さちたろう",33,"30-34","男",172.7,60.2,20.2,"山梨県","高校・旧中","なし","専門的・技術的職業従事者","300万円～","未婚",NA,"吸わない","毎日","やや満足"
"家治","やじ","美優綺","みゆき",18,"15-19","男",169.9,64.4,22.3,"千葉県","高校・旧中","なし","専門的・技術的職業従事者","400万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"武熊","たけくま","智咲子","ちさこ",59,"55-59","女",161.2,42.6,16.4,"宮崎県","高校・旧中","なし","販売従事者","300万円～","有配偶",23,"吸わない","ほとんど飲まない","やや満足"
"樋出","ひで","沙綾","さあや",85,"85-89","女",146.8,49.4,22.9,"愛媛県","小学校・中学校","なし","無職その他","200万円～","死別",28,"吸わない","飲まない (飲めない)","やや満足"
"辻下","つじした","玖海子","くみこ",77,"75-79","女",145.8,41.2,19.4,"奈良県","小学校・中学校","なし","無職その他","100万円～","死別",32,"吸わない","飲まない (飲めない)","満足"
"関尾","せきお","桂夏","けいか",64,"60-64","女",144.2,53.9,25.9,"千葉県","高校・旧中","なし","生産工程従事者","100万円～","有配偶",35,"吸わない","やめた","やや満足"
"緑谷","みどりたに","遊生","ゆう",23,"20-24","女",154.5,50.8,21.3,"北海道","高校・旧中","なし","無職その他","200万円～","未婚",NA,"毎日吸っている","ほとんど飲まない","やや不満だ"
"角波","かくなみ","綾衣","あやぎ",36,"35-39","女",149.9,49.7,22.1,"静岡県","高校・旧中","なし","事務従事者","200万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"中名生","なかなお","優彦","ゆうひこ",94,"90-94","男",161.8,55,21,"京都府","小学校・中学校","なし","無職その他","500万円～","死別",28,"吸わない","週５-６日","やや満足"
"内尾","うちお","麿基","まろもと",49,"45-49","男",165.6,54.6,19.9,"熊本県","大学・大学院","大学 保健","建設・採掘従事者","300万円～","有配偶",35,"毎日吸っている","飲まない (飲めない)","やや満足"
"閑野","かんの","亮佑","りょうすけ",49,"45-49","男",167.8,58,20.6,"神奈川県","高校・旧中","なし","輸送・機械運転従事者","300万円～","有配偶",22,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"房内","ふさうち","良澄","よしと",65,"65-69","男",166.1,56.8,20.6,"愛媛県","高校・旧中","なし","無職その他","300万円～","有配偶",21,"毎日吸っている","飲まない (飲めない)","やや満足"
"新郷","しんごう","波瑠琉","はるる",43,"40-44","女",153.4,55.3,23.5,"大阪府","短大・高専","短大 教育","無職その他","100万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"渋佐","しぶさ","道侶","みちとも",78,"75-79","男",166.8,68.4,24.6,"千葉県","高校・旧中","なし","無職その他","200万円～","有配偶",32,"吸わない","週３-４日","やや不満だ"
"北上","きたじょう","悠衣子","ゆいこ",41,"40-44","女",158.2,60.3,24.1,"東京都","高校・旧中","なし","無職その他","100万円～","有配偶",26,"吸わない","毎日","不満だ"
"荒巻","あらまき","愛捺","あいさ",68,"65-69","女",149.1,67.1,30.2,"鹿児島県","高校・旧中","なし","無職その他","400万円～","有配偶",32,"吸わない","毎日","やや満足"
"日島","ひじま","二佳","にか",40,"40-44","女",144.7,51.9,24.8,"沖縄県","短大・高専","短大 教育","無職その他","100万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"神前","かみさき","香夫利","かおり",37,"35-39","男",164.6,64.8,23.9,"宮城県","高校・旧中","なし","農林漁業従事者","400万円～","有配偶",23,"吸わない","週１-２日","やや満足"
"田子","たっこ","萌鳥","めとり",52,"50-54","女",155.4,58.4,24.2,"神奈川県","高校・旧中","なし","無職その他","200万円～","有配偶",31,"吸わない","毎日","満足"
"濱原","はまはら","仁雅","ひとまさ",76,"75-79","男",166.3,61.9,22.4,"福岡県","高校・旧中","なし","無職その他","400万円～","死別",32,"吸わない","週５-６日","やや満足"
